,Baseline Models,,,,,,,,,,,,,,,,,,PCA,,,,,,,,,,,,,,,,,,PCA + Smote,,,,,,,,,,,,,,,,
,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,KNN ,0.46,0.75,0.57,0.22,0.09,0.12,0.68,0.73,0.7,0.57,0.45,0.52,0.47,0.53,0.57,0.54,,KNN ,0.48,0.81,0.60,0.25,0.13,0.17,0.73,0.73,0.73,0.60,0.49,0.56,0.5,0.57,0.6,0.57,,KNN ,0.46,0.75,0.57,0.14,0.09,0.11,0.72,0.71,0.72,0.56,0.44,0.52,0.47,0.54,0.56,0.54
,Naive Bayes,0.36,1.0,0.52,0.67,0.17,0.28,0.79,0.62,0.69,0.57,0.6,0.6,0.5,0.69,0.57,0.56,,Naive Bayes,0.41,0.8,0.54,0.5,0.04,0.08,0.72,0.78,0.75,0.61,0.54,0.55,0.46,0.61,0.61,0.55,,Naive Bayes,0.39,0.81,0.53,0.2,0.04,0.07,0.7,0.71,0.7,0.56,0.43,0.52,0.43,0.52,0.56,0.52
,Logistic Regression,0.58,0.69,0.63,0.55,0.26,0.35,0.72,0.84,0.77,0.67,0.61,0.59,0.58,0.65,0.67,0.65,,Logistic Regression,0.52,0.69,0.59,0.50,0.04,0.08,0.69,0.89,0.78,0.65,0.57,0.54,0.48,0.62,0.65,0.58,,Logistic Regression,0.52,0.81,0.63,0.33,0.09,0.14,0.71,0.82,0.76,0.64,0.52,0.57,0.51,0.59,0.64,0.59
,Decision Tree,0.39,0.56,0.46,0.00,0.00,0.00,0.64,0.67,0.65,0.49,0.34,0.41,0.37,0.44,0.49,0.46,,Decision Tree,0.47,0.56,0.51,0.08,0.04,0.06,0.63,0.71,0.67,0.52,0.39,0.44,0.41,0.47,0.52,0.49,,Decision Tree,0.48,0.75,0.59,0.31,0.22,0.26,0.72,0.69,0.7,0.59,0.5,0.55,0.52,0.58,0.59,0.57
,RandomForest,0.67,0.62,0.65,0.43,0.13,0.20,0.68,0.89,0.77,0.66,0.59,0.55,0.54,0.62,0.66,0.61,,RandomForest,0.56,0.56,0.56,0.50,0.13,0.21,0.68,0.89,0.77,0.65,0.58,0.53,0.51,0.62,0.65,0.60,,RandomForest,0.46,0.69,0.55,0.14,0.04,0.07,0.7,0.8,0.75,0.6,0.43,0.51,0.45,0.52,0.6,0.55
,Gradient Boosting,0.57,0.75,0.65,0.50,0.26,0.34,0.72,0.8,0.76,0.66,0.6,0.6,0.58,0.64,0.66,0.64,,Gradient Boosting,0.44,0.44,0.44,0.43,0.13,0.2,0.66,0.85,0.75,0.61,0.51,0.47,0.46,0.57,0.61,0.56,,Gradient Boosting,0.48,0.75,0.59,0.25,0.09,0.13,0.69,0.76,0.72,0.6,0.47,0.53,0.48,0.55,0.6,0.55
,XGBoost,0.53,0.62,0.57,0.54,0.30,0.39,0.73,0.82,0.77,0.66,0.6,0.58,0.58,0.65,0.66,0.64,,XGBoost,0.6,0.56,0.58,0.5,0.13,0.21,0.68,0.91,0.78,0.66,0.59,0.53,0.52,0.63,0.66,0.61,,XGBoost,0.46,0.69,0.55,0.29,0.09,0.13,0.68,0.78,0.73,0.6,0.48,0.52,0.47,0.55,0.6,0.55
,AdaBoost,0.48,0.75,0.59,0.75,0.39,0.51,0.77,0.8,0.79,0.69,0.67,0.65,0.63,0.72,0.69,0.69,,AdaBoost,0.42,0.69,0.52,0.29,0.09,0.13,0.7,0.78,0.74,0.6,0.47,0.52,0.47,0.55,0.6,0.56,,AdaBoost,0.44,0.75,0.56,0,0,0,0.69,0.82,0.75,0.61,0.38,0.52,0.44,0.48,0.61,0.53
